fake_acctcode,segment,refresh_month,opt_in_date,fuel_only_parent_acct,cli_amount,fleetcor_open_datex,cityx,statex,zipx,term_daysx,due_daysx,lock_daysx,credit_limitx,lock_codex,lock_reasonx,lock_typex,deposit_flagx,portfolio,lob_reportingx,fleetcor_open_datey,cityy,statey,zipy,term_daysy,due_daysy,lock_daysy,credit_limity,lock_codey,lock_reasony,lock_typey,deposit_flagy,porfolio,lob_reportingy,snapshot_date,current_balance,unbilled_balance,days_past_due,bal_1_30,bal_31_60,bal_61_90,bal_90_plus,yearmonthx,ccs_grade,paydex,yearmonthy,nsf_amount,nsf_pmts,yearmonthxx,payment_amount,no_of_payment,yearmonthyy,credit_limitxx,fuel_net_rev,nonfuel_net_rev,net_fee_rev,tot_net_rev,yearmonthxxx,credit_limityy,gallons,fuel_spend,nonfuel_spend,tot_spend,quarter_refreshed,vantage_score,yearmonthyyy,wo_amount
309750,29,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,21-04-2016 08:44,SANFORD,FL,32773,7,1,10,6500,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,01-10-2022,0,181.98,0,0,0,0,0,202210,X,0,Unknown,0,0,202210,1133.58,4,202210,6500,28.17919,0,129.97,158.14919,202210,6500,354.16,1179.54,0,1179.54,2022Q3,0,Unknown,0
184663,5,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,07-11-2019 16:23,NAMPA,ID,83651,30,10,16,4000,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,0,1138.4,0,0,0,0,0,202210,A,80,Unknown,0,0,202210,1202.2,1,202210,4000,54.14,0,74.93,129.07,202210,4000,171.77,761.35,0,761.35,2022Q3,786,Unknown,0
203103,51,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,26-08-2021 10:32,MORGAN HILL,CA,95038,30,14,7,4375,M,CLOSED,PERM LOCK,0,ARCO,NAP,01-10-2022,0,0,13,57.66,0,0,0,202210,X,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,2022Q3,711,202301,57.66
172218,12,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,16-02-2016 09:54,Unknown,Unknown,Unknown,30,21,10,40740,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,0,13607.33,0,0,0,0,0,202210,B,57,Unknown,0,0,202210,14024.72,1,202210,40740,370.62,0,0,370.62,202210,40740,3008.246,11214.01,0,11214.01,2022Q3,0,Unknown,0
131834,29,202208,28-02-2023,0,49500,16-12-2021 08:13,DALLAS,PA,18612,30,15,10,0,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,NA,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,Unknown,0,Unknown,0
184242,59,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,02-10-2019 15:44,EAGAN,MN,55121,30,14,10,10000,U,Unknown,UNLOCKED,0,Kwik Trip,NAP,01-10-2022,0,4900.35,0,0,0,0,0,202210,X,0,Unknown,0,0,202211,9378.66,2,202309,10000,0,0,711.62,711.62,202210,10000,827.303,4246.06,19.35,4265.41,2022Q3,709,Unknown,0
265234,2,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,01-12-2010 15:01,HEBRON,OH,43025,30,22,30,3400,Z,UNLOCKED,UNLOCKED,0,MKMC,NAP,01-10-2022,0,0,0,0,0,0,0,202210,X,0,Unknown,0,0,Unknown,0,0,Unknown,0,0,0,0,0,Unknown,0,0,0,0,0,2022Q3,832,Unknown,0
283389,3,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,26-08-2011 11:03,SIOUX FALLS,SD,57105,30,21,45,108000,Z,UNLOCKED,UNLOCKED,0,BPMC,NAP,01-10-2022,0,10138.41,0,0,0,0,0,202210,A,76,Unknown,0,0,202210,11283.58,1,202210,108000,94.75218115,0,0,94.75218115,202210,108000,2793.291,10491.34,42.45,10533.79,2022Q3,0,202307,41.79
188897,42,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,03-11-2020 12:08,CARROLL,OH,43112,30,10,10,3000,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,0,1911.26,0,0,0,0,0,202210,X,0,Unknown,0,0,202210,2334.49,2,202210,3000,74.72,0,140.37,215.09,202210,3000,586.037,2679.76,0,2679.76,2022Q3,0,Unknown,0
260663,3,202208,NA,Unknown,0,NA,Unknown,Unknown,Unknown,0,0,0,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,03-02-2006 10:37,Unknown,Unknown,Unknown,7,4,3,3750,U,Unknown,UNLOCKED,0,Fuelman,Fuelman,01-10-2022,260.2,663.06,0,0,0,0,0,202210,A,80,Unknown,0,0,202210,3908.13,4,202210,3750,280.94,0,155.9836,436.9236,202210,3750,935.418,4475.94,0,4475.94,2022Q3,0,Unknown,0
